date,open,high,low,close,volume
1513388700000,0.77249,0.77988,0.76597,0.77193,139018.17998878
1513389600000,0.76707,0.78,0.76707,0.77995,70536.25698925
1513390500000,0.76591,0.77883,0.76591,0.76703,67465.33493047
1513391400000,0.767,0.772,0.764,0.7649,106935.25279663
1513392300000,0.765,0.76962,0.755,0.755,87657.77212491
1513393200000,0.755,0.76299,0.75,0.758,120801.47576916
1513394100000,0.758,0.76999,0.75475,0.75475,118698.40594613
1513395000000,0.75476,0.76929,0.75,0.75,140168.04043888
1513395900000,0.75036,0.75327,0.745,0.75044,189115.4541468
1513396800000,0.75044,0.75493,0.75,0.7537,103181.3305411
1513397700000,0.75261,0.75899,0.74513,0.75218,119026.39820385
1513398600000,0.75103,0.75455,0.74711,0.75127,83712.96251437
1513399500000,0.75115,0.76,0.7494,0.756,83113.80462338
1513400400000,0.756,0.767,0.75431,0.7549,70907.54259454
1513401300000,0.755,0.765,0.7515,0.7646,85182.89824545
1513402200000,0.765,0.76999,0.7646,0.76988,65663.67825617
1513403100000,0.76616,0.76999,0.759,0.76827,51660.14650971
1513404000000,0.76827,0.772,0.75669,0.75669,152918.33268392
1513404900000,0.76003,0.77497,0.75001,0.76368,231204.80572558
1513405800000,0.76132,0.76132,0.7501,0.75016,124568.58632722
1513406700000,0.75143,0.75831,0.7501,0.75831,99730.06062547
1513407600000,0.75821,0.76,0.7501,0.76,235409.02197953
1513408500000,0.75999,0.765,0.751,0.75987,51963.38814909
1513409400000,0.75987,0.75987,0.751,0.751,62480.7487531
1513410300000,0.75124,0.76016,0.75013,0.75315,73728.75649607
1513411200000,0.75332,0.7598,0.75147,0.7586,88864.35976012
1513412100000,0.75879,0.7694,0.7586,0.76937,173721.30453866
1513413000000,0.76937,0.7696,0.761,0.7696,56869.81139529
1513413900000,0.7696,0.774,0.76203,0.76621,164781.76632472
1513414800000,0.76886,0.77398,0.76253,0.76349,45354.32765659
1513415700000,0.76355,0.76374,0.7598,0.7598,245960.85139704
1513416600000,0.7598,0.76749,0.75465,0.76,79661.18054537
1513417500000,0.76,0.76649,0.7577,0.75826,34093.06363837
1513418400000,0.75826,0.76749,0.75,0.7668,202011.33386086
1513419300000,0.7668,0.786,0.76094,0.78564,354089.26584691
